year,count
2021,1442
2020,962
2019,929
2018,623
2017,562
2016,521
2014,391
2015,378
2013,289
2011,252
2012,252
2010,186
2007,176
2008,171
2009,149
2006,138
2005,112
2004,103
2002,92
2001,82
2003,81
2000,81
1995,72
1999,64
1994,63
1996,62
1997,59
1998,59
1993,57
1992,56
1989,45
1991,45
1988,44
1986,40
1990,40
1987,33
1936,29
1985,28
1984,28
1975,27
1970,25
1980,25
1937,24
1974,24
1978,23
1941,22
1947,22
1981,22
1946,21
1939,21
1943,21
1950,21
1953,21
1963,20
1972,20
1968,19
1959,18
1951,18
1983,17
1967,17
1973,17
1956,17
1982,17
1940,16
1969,16
1952,16
1942,16
1979,16
1971,16
1948,15
1935,15
1938,15
1958,15
1954,15
1949,14
1945,14
1977,14
1964,13
1944,12
1960,12
1934,12
1976,12
1962,12
1961,11
1966,10
1955,9
1965,9
1932,8
1925,8
1933,5
1930,5
1957,5
1929,4
1920,3
1931,3
1922,2
1926,2
1924,1
1923,1
1927,1
